# UEVR GTA SA DE grip calibration per-hand-v8
# entry 8 weaponId record hand anatomicalFramed posX posY posZ rotW rotX rotY rotZ
# record 0=primary-grip hand 0/1, record 1=support-contact hand 0/1
entry 8 33 1 1 0 23.761040 1.089993 6.780589 -0.800809 0.575833 -0.084268 0.141491
entry 8 35 0 0 1 17.719498 3.461598 1.479790 -0.629265 0.022211 -0.765015 0.135219
entry 8 35 1 0 0 0.555130 -6.691687 -2.450316 0.156180 -0.973064 -0.119876 -0.119934
entry 8 35 1 1 0 -1.181594 -2.596964 -2.911171 0.987128 -0.100161 -0.124483 0.007018
entry 8 36 0 0 1 2.363887 4.972266 6.343598 -0.620017 0.134897 -0.747106 0.198027
entry 8 36 0 1 1 0.122370 4.169843 4.176640 0.722643 0.047402 0.673983 0.145901
entry 8 36 1 0 0 -6.317669 -12.171869 7.218110 0.025908 -0.699825 -0.062434 -0.711108
entry 8 36 1 1 0 -6.710474 1.384676 6.276105 0.672077 -0.000259 -0.737656 0.064626
entry 8 37 0 0 1 0.111914 6.671903 6.443387 -0.533459 0.119431 -0.800127 0.246888
entry 8 37 0 1 1 0.236861 4.134016 6.950795 0.525261 0.096626 0.829479 0.163491
entry 8 37 1 0 0 19.487093 -7.271534 10.062692 0.677296 0.643143 -0.048753 0.353922
entry 8 37 1 1 0 21.921375 5.835658 10.781157 0.774535 0.514358 -0.349208 -0.116551
entry 8 41 0 0 1 2.390948 7.094046 12.862368 -0.510629 0.166727 -0.818761 0.202710
entry 8 41 0 1 1 3.786130 1.772997 13.025482 0.530578 -0.022012 0.836141 0.137368
